"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.91539224794319,0.427,0.183,0,"Normal","GJA1"
0,1.52597017491043,0.674,0.431,0,"Normal","NSA2"
0,2.54975347102695,0.407,0.164,0,"Normal","MMP23B"
0,1.38717836379588,0.701,0.459,0,"Normal","MRFAP1"
0,2.22888293989755,0.671,0.43,0,"Normal","TGFBR3"
0,2.04689586341497,0.395,0.154,0,"Normal","AXL"
0,2.60719689815149,0.315,0.074,0,"Normal","XYLT1"
0,5.06790019780181,0.25,0.011,0,"Normal","APOD"
0,2.06975233577787,0.417,0.178,0,"Normal","TSPAN4"
0,1.37233136622718,0.774,0.535,0,"Normal","CD99"
0,3.01838087286811,0.322,0.084,0,"Normal","ABI3BP"
0,2.49608008886332,0.371,0.133,0,"Normal","NDRG2"
0,3.97291571405134,0.255,0.018,0,"Normal","HIC1"
0,2.02212975581599,0.374,0.137,0,"Normal","LDB2"
0,2.0268254618879,0.419,0.182,0,"Normal","PPM1K"
0,2.62257873294537,0.314,0.077,0,"Normal","STARD9"
0,1.84628263770317,0.416,0.179,0,"Normal","RAB8B"
0,2.31131804217284,0.352,0.115,0,"Normal","TSHZ3"
0,3.13556905569243,0.288,0.052,0,"Normal","NR2F1"
0,4.92861303909707,0.257,0.022,0,"Normal","COL21A1"
0,1.8513979599738,0.45,0.215,0,"Normal","CAV2"
0,3.77461902842101,0.262,0.027,0,"Normal","IL1RAPL1"
0,1.30745508196188,0.84,0.605,0,"Normal","NDUFA4"
0,3.54830189181137,0.287,0.052,0,"Normal","GPC3"
0,1.85288330059677,0.295,0.061,0,"Normal","EDNRA"
0,1.73391176324515,0.628,0.394,0,"Normal","CCNH"
0,2.72531223326614,0.283,0.049,0,"Normal","GLIPR1"
0,1.81495661351,0.523,0.29,0,"Normal","SPRED1"
0,2.65832688443365,0.3,0.067,0,"Normal","FKBP7"
0,0.79395611803872,0.51,0.277,0,"Normal","MAPK10"
0,1.28477885191355,0.523,0.291,0,"Normal","IFI27L2"
0,0.619259473120779,0.324,0.092,0,"Normal","CTSK"
0,2.40565016895353,0.383,0.151,0,"Normal","CDKN1A"
0,1.63305028841341,0.61,0.378,0,"Normal","SNHG7"
0,1.57557555277298,0.415,0.184,0,"Normal","PDLIM2"
0,2.35131101280451,0.287,0.057,0,"Normal","PDPN"
0,1.38188470449582,0.865,0.635,0,"Normal","LAPTM4A"
0,1.85290790594359,0.49,0.26,0,"Normal","ST3GAL4"
0,1.84557242269706,0.524,0.295,0,"Normal","GALNT10"
0,5.53813331674464,0.247,0.018,0,"Normal","DIRAS3"
0,1.30955523316052,0.741,0.512,0,"Normal","NR4A1"
0,2.22161319824937,0.368,0.139,0,"Normal","CRISPLD2"
0,2.59132787096919,0.259,0.031,0,"Normal","TFPI"
0,3.79213886047365,0.267,0.039,0,"Normal","OMD"
0,1.4312004595,0.365,0.137,0,"Normal","VAMP5"
0,1.17557187488511,0.828,0.6,0,"Normal","SLC25A3"
0,5.88701433895735,0.232,0.005,0,"Normal","MGARP"
0,1.44162263102678,0.747,0.52,0,"Normal","PPP2CB"
0,1.47842357472907,0.596,0.369,0,"Normal","RSL24D1"
0,1.60228171190136,0.445,0.219,0,"Normal","STOM"
0,2.46708052982984,0.259,0.033,0,"Normal","COX7A1"
0,0.617104731259512,0.099,0.324,0,"Normal","MGST1"
0,2.99024782115421,0.309,0.084,0,"Normal","COL16A1"
0,3.50628896490628,0.353,0.128,0,"Normal","PTCH2"
0,1.8047041079307,0.341,0.118,0,"Normal","RCN3"
0,2.67294724203003,0.309,0.086,0,"Normal","SOD3"
0,4.5406741133212,0.235,0.012,0,"Normal","C1QTNF4"
0,3.49000069278815,0.266,0.044,0,"Normal","FNDC4"
0,3.31930264914143,0.254,0.032,0,"Normal","RASGRF2"
0,1.34529336063745,0.445,0.223,0,"Normal","SNRPN"
0,1.7175123905969,0.419,0.198,0,"Normal","ZBTB16"
0,1.75971072998654,0.535,0.315,0,"Normal","FKBP5"
0,1.92615789191033,0.505,0.285,0,"Normal","KLF4"
0,2.18161763856847,0.374,0.154,0,"Normal","PLEKHH2"
0,1.21673905336466,0.775,0.555,0,"Normal","SSR2"
0,1.60462078809731,0.938,0.718,0,"Normal","EEF1B2"
0,1.16128625278627,0.501,0.281,0,"Normal","NRP1"
0,1.23583011188706,0.933,0.714,0,"Normal","PFDN5"
0,1.53069380943148,0.391,0.172,0,"Normal","CAVIN3"
0,3.05008999216176,0.274,0.056,0,"Normal","UNC5C"
0,3.37533342860369,0.259,0.041,0,"Normal","RCAN2"
0,2.51055309222444,0.295,0.077,0,"Normal","ITGA5"
0,2.53156070360853,0.291,0.073,0,"Normal","FHL1"
0,0.999909026710526,0.688,0.471,0,"Normal","SOX5"
0,1.48211815436814,0.966,0.749,0,"Normal","RPS5"
0,1.15880874054368,0.765,0.549,0,"Normal","SARAF"
0,4.26440010689379,0.228,0.013,0,"Normal","ADAMTS9-AS1"
0,1.94527032109734,0.304,0.09,0,"Normal","MAF"
0,1.58529897951104,0.925,0.712,0,"Normal","HNRNPA1"
0,3.92178085684494,0.228,0.015,0,"Normal","JAM2"
0,1.45412786666819,0.688,0.475,0,"Normal","RBPMS"
0,2.30222672661435,0.302,0.09,0,"Normal","G0S2"
0,1.16622476843783,0.426,0.214,0,"Normal","GLI3"
0,1.85349035620219,0.383,0.171,0,"Normal","ACSS3"
0,2.72201937989714,0.317,0.106,0,"Normal","ZDBF2"
0,1.93074690910017,0.416,0.205,0,"Normal","PROS1"
